Arabic Word 	Gloss	Diacritized Reference
غوترسلوه	Gütersloh	غُوتَرْسْلُوه
غرفهم	Grafham	غْرَفْهَم
غريبو	GhuraybU	غُرَيْبُو
غريب	Greip	غْرِيب
غوزنان	Guznan	غُوزْنَان
جيوشيفو	Gyueshevo	جِيُوشِيفُو
غسان	Ghassān	غَسَّان
حبروت	Habrut	حَبْرُوت
فلانيجان	Flanigan	فْلَانِيجَان
غندكرو	Gondokoro	غُنْدُكُرُو
فليفيل	Fléville	فْلِيفِيل
هاكايناس	Hacinas	هَاكَايْنَاس
حدثا	Hadatha	حَدَثَا
كرامة	Gourrama	كُرَامَة
حفيظة	Hafida	حَفِيظَة
هفتومان	Haftuman	هَفْتُومَان
حجاي	Haggai	حَجَّاي
غلاس	Glass	غْلَاس
هايدونغ	Haidong	هَايْدُونْغ
غلينمورا	Glenmora	غْلِينْمُورَا
غرابيز	Grabež	غْرَابِيز
غويريت	Guéret	غُويِرْيِت
حجاجي	Hajjaji	حَجَّاجِيّ
هامالاند	Hamaland	هَامَالَانْد
غرينلاند	Greenland	غْرِينْلَانْد
غرينلاند	Greenlands	غْرِينْلَانْد
حماميان	Hammamian	حَمَّامِيَان
هاموند	Hammond	هَامُونْد
هانبي	Hanbi	هَانْبِي
كيسانغ	Kesang	كِيسَانْغ
هانسبورو	Hansboro	هَانْسْبُورُو
هاراشريت	Haracherite	هَارَاشِرِيت
هراران	Hararan	هَرَارَان
هرازيجان	Harazijan	هَرَازِيجَان
حربيل	Harbil	حَرْبِيل
فولفاخ	Wolfach	فُولْفَاخ
الحرية	Hurriyeh	حُرِّيَّة
هارديفيل	Hardeeville	هَارْدِيفِيل
ايكافا	Iecava	إِيكَافَا
هاردغسن	Hardegsen	هَارْدِغْسَن
هادرين	Hardin	هَادِرِين
إيونيا	Ionia	إِيُونِيَا
فوركاري	Forcarei	فُورْكَارِي
هاريسفيل	Harrisville	هَارِيسْفِيل
هارتفرد	Hartford	هَارْتْفُرْد
هارتموت	Hartmut	هَارْتْمُوت
هرزنديق	Harzandiq	هَرْزَنْدِيق
حسنجان	Hasanjan	حَسَنْجَان
حتحور	Hathor	حَتْحُور
جانسون	Jansson	جَانْسُون
هواشانق	Havashanq	هَوَاشَانْق
حويق	Haviq	حَوِيق
هيبل	Hebel	هِيبِل
جريكو	Jericho	جِرِيكُو
هبيرة	Hebira	هِبِيرَة
حبكوش	Hebkouch	حِبْكُوش
جانسون	Johnson	جَانْسُون
غارينولا	Grainola	غَارِينُولَا
كآرينا	Kaarina	كَآرِينَا
هاميدال	Heimdall	هَامِيدَال
كانيشكا	Kanishka	كَانِيشْكَا
هلاب	Hellab	هِلَاب
هيمنغز	Hemmings	هِيمِنْغْز
هرقليطس	Heraclitus	هِرَقْلِيطُس
هرنانديز	Hernández	هِرْنَانْدِيز
حرنيت	Herneith	حِرْنِيت
هيريرياس	Herrerías	هِيرِّيرِيَاس
هيرتويغ	Hertwig	هِيرْتْوِيغ
هيسدين	Hesdin	هِيسْدِين
غريغلا	Grygla	غْرِيغْلَا
هكسلي	Hexley	هِكْسْلِي
هبالة	Hibalah	هِبَالَة
غيرشام	Gresham	غِيرْشَام
هيغاشيكاوا	Higashikawa	هِيغَاشِيكَاوَا
غلينبروك	Glenbrook	غْلِينْبْرُوك
غريفنتال	Gräfenthal	غْرِيفِنْتَال
غرينوك	Greenock	غْرِينُوك
الخريبة	Khraibeh	خْرَيْبَة
غروبس	Grubbs	غْرُوبْس
هيلر	Hiller	هِيلَر
هيبشيم	Hipsheim	هِيبْشَيْم
حميمات	Hmeimat	حُمَيْمَات
هواني	Hoani	هُوَانِي
هارفل	Harvel	هَارْفِل
هارلم	Haarlem	هَارْلِم
هارلم	Harlem	هَارْلِم
هارلو	Harlow	هَارْلُو
هودجيتش	Hodžić	هُودْجِيتْش
ميلوود	Melwood	مِيلْوُود
ميلوود	Millwood	مِيلْوُود
العذاري	Ladhari	عَذَارِيّ
هوغانسفيل	Hogansville	هُوغَانْسْفِيل
الخنافيف	Lakhnafif	خْنَافِيف
هونشتاين	Hohnstein	هُونْشْتَايْن
هولنديل	Hollandale	هُولَنْدِيل
هوريكون	Horicon	هُورِيكُون
هورفاث	Horvath	هُورْفَاث
هورفاث	Horváth	هُورْفَاث
الحرية	Liberté	حُرِّيَّة
الحرية	Liberty	حُرِّيَّة
هوشع	Hosea	هُوشَع
هونسلو	Hounslow	هُونْسْلُو
هواردفيل	Howardville	هَوَارْدْفِيل
لولورث	Lolworth	لُولْوُرْث
لوميلو	Lomello	لُومِيلُّو
هودرج	Hudaraj	هُودَرَج
هوندسدورف	Hundsdorf	هُونْدْسْدُورْف
هونيدوارا	Hunedoara	هُونِيدُوَارَا
هكسلي	Huxley	هَكْسْلِي
هايدرو	Hydro	هَايْدْرُو
موسيي	Musei	مُوسِيِي
حلبي	Halabi	حَلَبِيّ
حلواني	Halawani	حَلَوَانِيّ
هيميتوس	Hymettus	هَيْمِيتُوس
هيندبورن	Hyndburn	هِينْدْبُورْن
أخرنوفرت	Ikhernofret	أَخِرْنُوفْرِت
حنة	Hannah	حَنَّة
حران	Haran	حَرَان
حران	Harran	حَرَّان
عميقة	Imayqah	عِمَيْقَة
عمانوئيل	Immanuel	عَمَانُوئِيل
إيشي	Ishii	إِيشِي
أيار	Iyar	أَيَّار
جبرند	Jabbarand	جَبَرَنْد
جبرائيل	Jabrayil	جَبْرَائِيل
جاكسبورو	Jacksboro	جَاكْسْبُورُو
جدوعة	Jadduah	جَدُّوعَة
جالاندهار	Jalandhar	جَالَانْدْهَار
جامايكا	Jamaica	جَامَايْكَا
جامبا	Jamba	جَامْبَا
جامكان	Jamkan	جَامْكَان
مركاوغ	Markaughe	مَرْكَاوْغ
حيفة	Hayfah	حَيْفَة
حكمت	Hikmat	حِكْمَت
هندريك	Hendrick	هِنْدْرِيك
هندريك	Hendrik	هِنْدْرِيك
قوتلي	Al-Quwatli	قُوتْلِيّ
جاموس	Jamous	جَامُوس
ميديكير	Medicare	مِيدِيكِير
الماجري	Mejri	مَاجِرِيّ
جانينا	Janina	جَانِينَا
جنتر	Jantar	جَنْتَر
جرابلس	Jarabulus	جَرَابُلُس
جيفرسون	Jefferson	جِيفِرْسُون
جيرميتش	Jeremić	جِيرِمِيتْش
جهللال	Jhulelal	جُهُلِّلَال
الماتلين	Metline	مَاتِلِين
جيانغنا	Jiangna	جِيَانْغْنَا
جياوان	Jiavan	جِيَاوَان
جيايوقوان	Jiayuguan	جِيَايُوقُوَان
هيكاري	Hikari	هِيكَارِي
هيرا	Hera	هِيرَا
جيموان	Jimeoin	جِيمُوَان
جينغتشو	Jingzhou	جِينْغْتْشُو
موليهوي	Møllehøj	مُولِيهُوي
جريف	Jirayf	جِرَيْف
جمول	Jmol	جْمُول
جداقية	Jodaqayeh	جُدَاقَيَة
جداقية	Jodaqiyeh	جُدَاقِيَة
جوينفيل	Joinville	جُوِينْفِيل
جونزفيل	Jonesville	جُونْزْفِيل
جونيشكليس	Joniškėlis	جُونِيشْكِلِيس
جوزيففيل	Josephville	جُوزِيفْفِيل
جوتسا	Joutsa	جُوتْسَا
جزينان	Jozinan	جُزِينَان
جيانز	Juanes	جُيَانِز
جبا	Jubba	جُبَّا
جبى	Jubba	جُبَّى
جولياناتوب	Julianatop	جُولِيَانَاتُوب
كباشين	Kabbachin	كَبَّاشِين
كادنيكوف	Kadnikov	كَادْنِيكُوف
كفرقاهل	Kaferkahel	كِفْرْقَاهِل
كاهاتويتة	Kahatowita	كَاهَاتُوِيتَة
كاولوي	Kahului	كَاوُلُوِي
كاخوفكا	Kakhovka	كَاخُوفْكَا
هولدر	Holder	هُولْدَر
هومادا	Humada	هُومَادَا
كلجك	Kalejak	كَلِجَك
كليتشة	Kalicheh	كَلِيتْشَة
كاماخيا	Kamakhya	كَامَاخْيَا
كاميكواني	Kamikoani	كَامِيكُوَانِي
كامينوكوني	Kaminokuni	كَامِينُوكُونِي
كامياران	Kamyaran	كَامِيَارَان
كاميزياك	Kamyzyak	كَامِيزْيَاك
كناسألا	Kangasala	كَنَاسَأَلَا
كاوري	Kaori	كَاوُرِي
كرامة	Karameh	كَرَامَة
كرندق	Karandaq	كَرَنْدَق
كاريزدر	Karizdar	كَارِيزْدَر
كركوج	Karkoj	كَرْكُوج
كركوش	Karkush	كَرْكُوش
كرمانة	Karmana	كَرْمَانَة
كارنال	Karnal	كَارْنَال
كارولوس	Karolos	كَارُولُوس
كاربينسك	Karpinsk	كَارْبِينْسْك
بوفهام	Pavenham	بَوْفَهَام
كاراثا	Karratha	كَارَاثَا
كرسعة	Karsaa	كَرْسَعَة
كاروزي	Karuzi	كَارُوزِي
كيشيون	Kassites	كِيشِيّ
كاسنر	Kassner	كَاسْنَر
كتفاء	Katfā'	كَتْفَاء
كوسي	Kavsi	كَوْسِي
كواتشي	Kawachi	كَوَاتْشِي
كِيتا	Keïta	كِيتَا
كليسان	Kelisan	كِلِيسَان
كمبرغ	Kemberg	كِمْبِرْغ
جريف	Jarif	جَرِيف
كنسورته	Kensworth	كِنْسْوُرْتَه
كينيا	Kenya	كِينْيَا
كروشن	Kerrouchen	كِرُّوشِن
ويرتون	Weirton	وِيرْتُون
كيزفيل	Keysville	كِيزْفِيل
خمي	Khommi	خُمِّي
ووجينغ	Wujing	وُوجِينْغ
خشوئية	Khoshuiyeh	خُشُوئِيَّة
كيغال	Kighal	كِيغَال
كيموتو	Kimoto	كِيمُوتُو
كيموتسوكي	Kimotsuki	كِيمُوتْسُوكِي
كنغزغروف	Kingsgrove	كِنْغْزْغْرُوف
كينتنر	Kintner	كِينْتْنِر
كينتور	Kintore	كِينْتُور
كريب	Kirayb	كِرَيْب
كيركباتريك	Kirkpatrick	كِيرْكْبَاتْرِيك
كريستي	Kirsty	كِرِيسْتِي
الروملي	Rumelia	رُومِلِيّ
ساغينيه	Saguenay	سَاغِينَيْه
ساليغني	Saligny	سَالِيغْنِي
كيتاغاوا	Kitagawa	كِيتَاغَاوَا
كيتاياما	Kitayama	كِيتَايَامَا
كيتينغر	Kittinger	كِيتِينْغَر
كيتسشر	Kitzscher	كِيتْسْشَر
دنيصر	Kızıltepe	دُنَيْصَر
كنيتلينغن	Knittlingen	كْنِيتْلِينْغِن
كنونو	Knonau	كْنُونَو
كولوبه	Koloppeh	كُولُوبِّه
كلوانق	Kolvanaq	كُلْوَانَق
شرمان	Sherman	شِرْمَان
كمدرة	Komdarreh	كَمْدَرَة
كميتك	Komitak	كُمِيتَك
شوبريا	Shupria	شُوبْرِيَا
كوندوبوغا	Kondopoga	كُونْدُوبُوغَا
كوريا	Korea	كُورِيَا
جيرو	Gero	جِيرُو
جيرو	Giraud	جِيرُو
جيرو	Giro	جِيرُو
جيرو	Jirō	جِيرُو
كوريا	Koriya	كُورْيَا
كرماكيتي	Kormakitis	كُرْمَاكِيتِي
كورور	Koror	كُورُور
كشكوئيه	Koshkuiyeh	كُشْكُوْئِيَه
كوسيليكا	Kosilka	كُوسِيلِيكَا
كوسي	Kosse	كُوسِّي
كوتاكه	Kotake	كُوتَاكْه
كوتايام	Kottayam	كُوتَايَام
ستريت	Street	سْتْرِيت
جريجيو	Greggio	جْرِيجِيو
جريكو	Greco	جْرِيكُو
جروبون	Groupon	جْرُوبُون
كوغانك	Kuganak	كُوغَانَك
كوغلوكتوك	Kugluktuk	كُوغْلُوكْتُوك
كوخان	Kukhan	كُوخَان
كوماري	Kumari	كُومَارِي
كوريساري	Kuressaare	كُورِيسَارِي
كورجه	Kurjeh	كُورْجِه
كورزة	Kurzeh	كُورْزَة
كوسناخت	Küsnacht	كُوسْنَاخْت
آديفاسي	Adivasi	آدِيفَاسِي
كوتولشيم	Kuttolsheim	كُوتُولْشِيم
كوفانديك	Kuvandyk	كُوفَانْدِيك
كوفيمبو	Kuvempu	كُوفِيمْبُو
غوزدغن	Kuzdagan	غُوزْدَغَن
كوزنتسوفا	Kuznetsova	كُوزْنِتْسُوفَا
كفانوم	Kvänum	كْفَانُوم
لاغارتو	Lagarto	لَاغَارْتُو
لكفيفات	Lagfifat	لَكْفِيفَات
لاينغ	Laing	لَايِنْغ
مناذرة	Lakhmids	مَنَاذِرَة
لخوالقة	Lakhoualqa	لَخْوَالْقَة
لمعاشات	Lamaachate	لَمْعَاشَات
لانتشانو	Lanciano	لَانْتْشَانُو
لانديرد	Landerd	لَانْدِيرْد
لندودنك	Landewednack	لَنْدِوِدْنَك
لاندسهوت	Landshut	لَانْدْسْهُوت
لانسبورو	Lanesboro	لَانِسْبُورُو
لانغفورد	Langford	لَانْغْفُورْد
لنريث	Lanreath	لَنْرِيث
لانتيرا	Lanteira	لَانْتِيرَا
لانوسي	Lanusei	لَانُوسِي
لقراقرة	Laqraqra	لَقْرَاقْرَة
لاسان	Lassan	لَاسَان
لاشتروب	Lastrup	لَاشْتْرُوب
ترايبو	Traipu	تْرَايْبُو
لاويرسمير	Lauwersmeer	لَاوِيرْسْمِير
لزيرك	Lazirak	لَزِيرَك
لازيسي	Lazise	لَازِيسِي
توسايان	Tusayan	تُوسَايَان
ليتشفيل	Leachville	لِيتْشْفِيل
برايدن	Bryden	بْرَايْدِن
ليسلرفيل	Leclercville	لِيسْلِرْفِيل
ليدانيا	Ledaña	لِيدَانْيَا
ليسفيل	Leesville	لِيسْفِيل
ليجوشي	Legoshi	لِيجُوشِي
ليرمان	Lehrman	لِيرْمَان
ليرته	Lehrte	لِيرْتِه
ليسوركورب	Leisurecorp	لِيسُورْكُورْب
ليمونوير	Lemonweir	لِيمُونْوِير
لينغدورف	Lengdorf	لِينْغْدُورْف
لنغريش	Lengerich	لِنْغَرِيش
كاناب	Kanab	كَانَاب
كاناي	Cannae	كَانَاي
كاناي	Kanae	كَانَاي
كاناي	Kanai	كَانَاي
كانيفيل	Caneyville	كَانِيفِيل
كانديس	Candice	كَانْدِيس
كانغ	Kang	كَانْغ
لينغفيل	Lengwil	لِينْغْفِيل
ليوماكس	Leomacs	لِيُومَاكْس
كارال	Caral	كَارَال
ليوبولد	Leopold	لِيُوبُولْد
ليشان	Leshan	لِيشَان
لوتزيغن	Leuzigen	لُوتْزِيغِن
ليلانة	Leylaneh	لَيْلَانَة
ليبيركورت	Libercourt	لِيبِيرْكُورْت
ديوندن	Dunedin	دِيُونْدِن
ايزدان	Yazata	إِيزْدَان
ليسينزا	Licenza	لِيسِينْزَا
ليندي	Lindi	لِينْدِي
لينغن	Lingen	لِينْغِن
ليوتا	Liotta	لِيُوتَّا
ليقناب	Liqenab	لِيقِنَاب
ليتشفيل	Litchville	لِيتْشْفِيل
ليتلز	Littles	لِيتِلْز
ليليانا	Ljiljana	لِيِلْيَانَا
ليوسينا	Ljusina	لْيُوسِينَا
لانتريسانت	Llantrisant	لَانْتْرِيسَانْت
لوغانديل	Logandale	لُوغَانْدِيل
لوريتا	Loretta	لُورِيتَّا
لورزيني	Lowrzini	لُورْزِينِي
لوبوكلنغاو	Lubuklinggau	لُوبُوكْلِنْغَاو
لوساجيوغ	Lusagyugh	لُوسَاجِيُوغ
ليفورد	Lyford	لِيفُورْد
ليسيثيا	Lysithea	لِيسِيثِيَا
مريرت	M'Rirt	مْرِيرْت
مصيسي	M'Ssici	مْصِيسِي
أديمي	Adeyemi	أَدِيمِي
معوج	Ma'Uj	مَعُوج
اغريجه	Agarijeh	أَغَرِيجِه
معوج	Ma'waj	مَعْوَجّ
مبيطح	Mabaytih	مَبَيْطِح
مابسكوت	Mabscott	مَابْسْكُوت
العويقيل	Al-Awayqil	عُوَيْقِيل
الحبيلات	Al-habilat	حَبِيلَات
الجرنية	Al-Jarniyah	جَرْنِيَّة
المهجورة	Al-Mahjurah	مَهْجُورَة
المديفي	Al-Mudayfi	مُدَيْفِيّ
المريغات	Al-Murayghat	مُرَيْغَات
ماينولشيم	Maennolsheim	مَايْنُولْشِيم
الويزية	Al-Wayziyya	وَيْزِيَّة
الزيلعي	Al-Zylaeei	زِيلْعِي
ألاتاير	Alatyr	أَلَاتَايْر
كايم	Caém	كَايِم
كايم	Caim	كَايِم
الكنتارا	Alcántara	أَلْكَنْتَارَا
كايلي	Keighley	كَايْلِي
كايلي	Kylie	كَايْلِي
كاظم	Kadhim	كَاظِم
ميف	Maeve	مَيْف
كفرود	Kafrud	كَفْرُود
كهلان	Kahlan	كَهْلَان
كهلان	Kohlan	كَهْلَان
كهلان	Kuhlan	كَهْلَان
مكاري	Makari	مَكَارِي
مخول	Makhoul	مَخُول
كلباء	Kalba	كَلْبَاء
كرابيفين	Krapivin	كْرَابِيفِين
مكي	Maki	مَكِي
مكي	Makki	مَكِّي
منابي	Manabe	مَنَابِي
ماندالت	Mandulatu	مَانْدَالَت
أقصري	Aqesri	أَقِصْرِي
مانيت	Mannette	مَانِيت
أركوي	Arcueil	أَرْكُوِيّ
أردينة	Ardineh	أَرْدِينَة
ماراكوس	Marracos	مَارَّاكُوس
مارتينيلي	Martinelli	مَارْتِينِيلِّي
مارواين	Marwayne	مَارْوَايْن
السحمية	As-Sahmiyah	سَحْمِيَّة
الصومحان	As-Sawmhan	صَوْمَحَان
هرستون	Harston	هَرْسْتُون
مرزيجران	Marzijaran	مَرْزِيجَرَان
ماشيكي	Mashiki	مَاشِيكِي
كلفتن	Clifton	كْلِفْتُن
ماساناس	Massanes	مَاسَانَاس
ماسوة	Masueh	مَاسُوَة
بايرويل	Bairoil	بَايْرُويِل
ماساكاوا	Masukawa	مَاسَاكَاوَا
مورة	Mawarah	مَوَرَة
ميادة	Mayada	مَيَّادَة
برانقار	Baranqar	بَرَانْقَار
مازيه	Maze	مَازِيه
مكاري	McCarey	مَكَّارِي
مشرنيش	Mechernich	مِشِرْنِيش
كريستي	Cristi	كْرِيسْتِي
مهمانلو	Mehmanlu	مِهْمَانْلُو
كريستي	Kristie	كْرِيسْتِي
كريستي	Kristy	كْرِيسْتِي
مكي	Mekki	مِكِّي
كريستيانا	Kristiana	كْرِيسْتِيَانَا
ملبة	Melaba	مِلَبَة
ملخاص	Melkhas	مِلْخَاص
مليتة	Mellita	مِلِيتَة
بيرشكا	Bershka	بِيرْشْكَا
ملوكي	Mellouki	مِلُّوكِي
ميناجيو	Menaggio	مِينَاجْيُو
بيوووتش	BioWatch	بَيُووُوتْش
منغن	Mengen	مِنْغِن
بودايبو	Bodaybo	بُودَايْبُو
منتوحتب	Mentuhotep	مِنْتُوحُتِب
موغيسي	Mevagissey	مِوَغِيسِي
ميزيزيوس	Mezezius	مِيزِيزِيُوس
محضان	Mihuan	مِحْضَان
مينوتور	Minotaur	مِينُوتَوْر
مريخ	Miraykh	مِرَيْخ
مريط	Mirbat	مَرِيط
مغيطية	Mogheytiyeh	مُغِيطِيَة
موليدو	Molledo	مُولِيدُو
مملو	Momlu	مُمْلُو
مونغيدورو	Monghidoro	مُونْغِيدُورُو
كليفيو	Clivio	كْلِيفِيُو
مونتبليار	Montbéliard	مُونْتْبْلِيَار
كيرتا	Kirta	كِيرْتَا
كيرو	Kero	كِيرُو
كيرو	Quero	كِيرُو
كارليان	Carlyn	كَارْلِيَان
كرمنيتسا	Kremnica	كْرِمْنِيتْسَا
مونتسكيو	Montesquieu	مُونْتِسْكْيُو
مونتيزوما	Montezuma	مُونْتِيزُومَا
كروكس	Crooks	كْرُوكْس
مونتريال	Montreal	مُونْتْرِيَال
كيتش	Ketch	كِيتْش
موريجيراتي	Morigerati	مُورِيجِيرَاتِي
كيوسافورتي	Chiusaforte	كِيُوسَافُورْتِي
الشرايبي	Chraïbi	شْرَايْبِيّ
كيوتكس	Cutex	كِيُوتِكْس
مورياس	Moryas	مُورْيَاس
كيزارو	Kizaru	كِيزَارُو
كرمباخي	Krompachy	كْرُمْبَاخِي
ميناق	Moynaq	مُيْنَاق
كوتياس	Cotillas	كُوتِيَّاس
مدل	Mudl	مُدْل
محينية	Muhayniyah	مُحَيْنِيَّة
ميورويتا	Murueta	مِيُورُويْتَا
سايبروس	Cyprus	سَايْبْرُوس
كلور	Chlorine	كْلُور
كلور	Clewer	كْلُور
موسكوتا	Muscotah	مُوسْكُوتَا
الدلفين	Delphinus	دِلْفِين
كريب	Creep	كْرِيب
موسو	Musso	مُوسُّو
موهرة	Muwahhirah	مُوَهَّرَة
موادي	Mwadui	مْوَادِي
ندافية	Naddafiyeh	نَدَّافِيَّة
نهلال	Nahalal	نَهْلَال
نهند	Nahend	نَهِنْد
الجريتلي	Elgretly	جْرِيتْلِي
القشاطي	Elkashati	قَشَّاطِيّ
ناخهري	Nakhahry	نَاخَهْرِي
كلور	Kolowr	كُلُور
نخجوان	Nakhchivan	نَخْجِوَان
نانوته	Nanauta	نَانُوتَه
نيبا	Neiba	نَيْبَا
كوشم	Cochem	كُوشِم
كوشيبا	Koshiba	كُوشِيبَا
كوشينجار	Kushinagar	كُوشِينَجَار
كوشينغ	Cushing	كُوشِينْغ
الفندارة	Findara	فِنْدَارَة
فينرتي	Finnerty	فِينِرْتِي
كوال	Kowal	كُوَال
كوال	Quahl	كُوَال
نيموشوفا	Nemšová	نِيمُوشُوفَا
نشلج	Neshlaj	نِشْلَج
نمولي	Nimule	نِمُولِي
كوبن	Coben	كُوبِن
نوبختي	Al-Nawbakhti	نَوْبَخْتِي
جابرييل	Gabrielle	جَابْرِييِل
غاليورن	Galehorn	غَالِيوُرْن
نيمور	Nimvar	نِيمُور
نعيضة	Nu'ayuah	نُعَيْضَة
أوبراين	O'Brien	أُوبْرَايَن
أوكفيل	Oakville	أُوكْفِيل
أوبوخيف	Obukhiv	أُوبُوخِيف
أوشنسايد	Oceanside	أُوشِنْسَايْد
أوتشيدان	Ocheyedan	أُوتْشِيدَان
أوجيرو	Ogero	أُوجِيرُو
أوغنين	Ognjen	أُوغْنِيَن
أولمان	Ohlman	أُولْمَان
غروسيتو	Grosseto	غْرُوسِّيتُو
أويابوكي	Oiapoque	أُويَابُوكِي
أوخانسك	Okhansk	أُوخَانْسْك
أوكوبو	Okubo	أُوكُوبُو
أولا	Ola	أُولَا
هجللا	Hagalella	هَجَلِلَّا
أولدهام	Oldham	أُولْدْهَام
الحمامات	Hammamet	حَمَّامَات
هامبدين	Hampden	هَامْبْدِين
الحردانة	Hardana	حَرْدَانَة
كونيغ	Koenig	كُونِيغ
كونيغ	Kœnig	كُونِيغ
كونيغامي	Kunigami	كُونِيغَامِي
كونيولي	Cugnoli	كُونِيُولِي
كونيولو	Coniolo	كُونِيُولُو
أوليفيلا	Olivella	أُولِيفِيلَا
هيرتويغ	Hertwigia	هِيرْتُويِغ
أولا	Olla	أُولَا
أولتينيا	Oltenia	أُولْتِينِيَا
أوموا	Omoa	أُومُوَا
أمورتاغ	Omurtag	أُمُورْتَاغ
أونيونتا	Oneonta	أُونِيُونْتَا
كونور	Connor	كُونُور
هيوستون	Houston	هِيُوسْتُون
هويشيان	Huixian	هُويِشْيَان
الخشنية	Hushnia	خُشْنِيَّة
كونور	Conor	كُونُور
كونور	Coonoor	كُونُور
أونونداج	Onondaga	أُونُونْدَاج
أوراديا	Oradea	أُورَادِيَا
إيويكا	Illueca	إِيُّوِيكَا
أوراهوفيكا	Orahovica	أُورَاهُوفِيكَا
إيموغين	Imogene	إِيمُوغِين
أوركاخو	Orcajo	أُورْكَاخُو
أوريجانوس	Origen	أُورِيجَانُوس
ازمورن	Izemmouren	إِزْمُورِن
أورلينس	Orleans	أُورْلِينْس
جاشإنأو	Jachenau	جَاشْإِنَأَو
جاسيندا	Jacinda	جَاسِينْدَا
جهندديز	Jahandiz	جَهَنْدْدِيز
أورودارا	Orodara	أُورُودَارَا
أوروسي	Orosei	أُورُوسِي
أورتوكيو	Ortucchio	أُورْتُوكِيُو
جونقلي	Jonglei	جُونْقِلِي
ويلسدن	Willesden	وِيلْسْدِن
أوسامو	Osamu	أُوسَامُو
أوشاكاتي	Oshakati	أُوشَاكَاتِي
أوزيريون	Osireion	أُوزِيرِيُون
عثمانية	Osmaniye	عُثْمَانِيَّة
أوسموند	Osmond	أُوسْمُونْد
خوجآباد	Khodjaobad	خُوجَآبَاد
كيغوورث	Kegworth	كِيغْوُورْث
أشروسنة	Osrūshana	أُشْرُوسَنَة
أوسيان	Ossian	أُوسِيَان
كوسم	Cosme	كُوسْم
أوزوالد	Oswald	أُوزْوَالْد
أطاقلو	Otaqlu	أُطَاقْلُو
أويدا	Ouidah	أُوَيْدَا
كينبرا	Kinbrae	كِينْبْرَا
ورياشي	Ouriachi	وَرِيَاشِي
أوينسفيل	Owensville	أُوِينْسْفِيل
أويري	Owerri	أُوِيرِي
أويري	Owiri	أُوِيرِي
أولق	Owlaq	أَوْلَق
الكريمات	Korimate	كُرَيْمَات
بابنا	Pabna	بَابْنَا
بانتن	Painten	بَانْتِن
بالجافيسي	Paljavesi	بَالْجَافِيسِي
بلامي	Palmy	بْلَامِي
كويكوى	Kwekwe	كْوِيكْوَى
لايكفيل	Lakeville	لَايْكْفِيل
لابل	LaBelle	لَابِل
لادنبورغ	Ladenburg	لَادِنْبُورْغ
بالومبارو	Palombaro	بَالُومْبَارُو
لاغاتا	Lagata	لَاغَاتَا
لامور	LaMoure	لَامُور
ليليانا	Liliana	لِيلِيَانَا
لُكانية	Lucania	لُكَانْيَة
بانكاج	Pankaj	بَانْكَاج
أرييلي	Arielli	أَرِييِلِّي
بانتان	Pantin	بَانْتَان
بابسوكيل	Papsukkal	بَابْسُوكِيل
برمهات	Paremhat	بَرِمْهَات
باريشفيل	Parishville	بَارِيشْفِيل
باركديل	Parkdale	بَارْكْدِيل
بارمالات	Parmalat	بَارْمَالَات
لاسا	Lassa	لَاسَا
لاسا	Lhasa	لَاسَا
برسبيت	Parsbit	بَرْسْبِيت
لاتيمر	Latimer	لَاتِيمَر
باسوروان	Pasuruan	بَاسُورُوَان
باتيرنو	Paterno	بَاتِيرْنُو
بولينا	Paulina	بَوْلِينَا
بباوليستا	Paulínia	بَبَاوُلِيسْتَا
بيتاف	Paytaf	بَيْتَاف
ميشيغان	Michigan	مِيشِيغَان
بيفكوخوري	Pefkochori	بِيفْكُوخُورِي
فقحيا	Pekahiah	فِقَحِيَا
بينلون	Pen-Lôn	بِينْلُون
آلنفيلد	Allenfeld	آلِنْفِيلْد
مونشاو	Monschau	مُونْشَاو
بيندير	Pender	بِينْدِير
المديفي	Muaifi	مُدَيْفِيّ
برنوثن	Perranuthnoe	بِرَنُوثْن
بيريفيل	Perryville	بِيرِيفِيل
نجاريان	Najarian	نَجَارِيَان
بابييفو	Babaevo	بَابَيِيفُو
نيانتيك	Niantic	نِيَانْتِيك
باكنانغ	Backnang	بَاكْنَانْغ
ناتزسسحي	Nitzsche	نَاتْزْسْسْحِي
بيرسيفون	Persephone	بِيرْسِيفُون
بيرشنغ	Pershing	بِيرْشِنْغ
بترسهاغن	Petershagen	بِتِرْسْهَاغِن
فورتسهايم	Pforzheim	فُورْتْسْهَايِم
باسفيلد	Bassfield	بَاسْفِيلْد
فولينغن	Pfullingen	فُولِينْغِن
عتنائيل	Otniel	عَتْنَائِيل
أوترياو	Outreau	أُوتْرِيَاو
أريوفستس	Ariovistus	أَرْيُوفِسْتَس
فونيكس	Phoenix	فُونِيكْس
بيلشتي	Pielești	بِيلِشْتِي
بيلونيا	Piloña	بِيلُونْيَا
بينيدا	Pineda	بِينِيدَا
باينيفيل	Pineville	بَايْنِيفِيل
ليرنا	Lerna	لِيرْنَا
بيركاني	Pirkani	بِيرْكَانِي
بيربنة	Pirbaneh	بِيرْبَنَة
بيرمازنز	Pirmasens	بِيرْمَازِنْز
برابهاس	Prabhas	بْرَابْهَاس
بوكروف	Pokrov	بُوكْرُوف
ليونيديو	Leonidio	لِيُونِيدْيُو
بولوكوان	Polokwane	بُولُوكْوَان
ليوتا	Ljuta	لِيُوتَا
